IDBASE;TYPE EMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENT ADRESSE;NUMERO;LIEU / ADRESSE;IDEMPLACEMENT;LIBELLE FRANCAIS;GENRE;ESPECE;VARIETE OUCULTIVAR;CIRCONFERENCE (cm);HAUTEUR (m);STADE DE DEVELOPPEMENT;REMARQUABLE;geo_point_2d
290965;Arbre;Alignement;PARIS 12E ARRDT;;;RUE DE CHARENTON;002802047;Platane;Platanus;x hispanica;;20;5;Jeune (arbre);NON;48.83294168206769,2.395806983153881
297201;Arbre;Alignement;PARIS 8E ARRDT;;;AVENUE MONTAIGNE;000402023;Marronnier;Aesculus;x carnea;''Briotii'';42;6;Jeune (arbre)Adulte;NON;48.865899738100616,2.304328334960478
2015238;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;02810001;Erable;Acer;pseudoplatanus;;0;0;;NON;48.83834873606821,2.4487018480847156
227260;Arbre;Alignement;PARIS 10E ARRDT;205 (Quais bas);;QUAI DE VALMY;001006017;Peuplier;Populus;nigra;''Italica'';20;5;;NON;48.882181267723396,2.3693421260129375
235006;Arbre;Alignement;PARIS 19E ARRDT;;;AVENUE DE FLANDRE;000102010;Tilleul;Tilia;n. sp.;;85;10;Adulte;NON;48.88530403157301,2.370239518246149
238073;Arbre;Alignement;PARIS 11E ARRDT;35;;BOULEVARD VOLTAIRE;000501018;Noisetier de Byzance;Corylus;colurna;;30;5;Jeune (arbre);NON;48.864508492952226,2.3690324643352225
118523;Arbre;Jardin;PARIS 11E ARRDT;;;SQUARE DAMIA;00000056;Merisier;Prunus;avium;;110;12;;;48.8546265206201,2.3941520644589716
295117;Arbre;Alignement;PARIS 5E ARRDT;;;RUE JUSSIEU;000202027;Platane;Platanus;x hispanica;;95;15;Adulte;NON;48.84674077288034,2.354360178517005
156813;Arbre;CIMETIERE;VAL-DE-MARNE;;;CIMETIERE D''IVRY / AVENUE DU EST / DIV 7;A09500007027;Frêne;Fraxinus;excelsior;;112;13;Adulte;NON;48.809360236688285,2.37273370467848
170251;Arbre;CIMETIERE;HAUTS-DE-SEINE;;;CIMETIERE DE BAGNEUX / AVENUE DE BAGNEUX / DIV F103;A0180F103002;Tilleul;Tilia;tomentosa;;0;0;;;48.80193599584119,2.306777618865078
197117;Arbre;PERIPHERIQUE;PARIS 20E ARRDT;;;TALUS N°29-09;092909021;Sequoia;Sequoia;sempervirens;;85;15;;;48.86535233862485,2.412054850992266
254621;Arbre;Alignement;PARIS 16E ARRDT;;;AVENUE HENRI MARTIN;000204024;Marronnier;Aesculus;hippocastanum;;118;12;Adulte;NON;48.86435062260915,2.2759251682400286
282056;Arbre;Alignement;PARIS 17E ARRDT;;;RUE GUY MOQUET;001402003;Erable;Acer;platanoides;''Drummondii'';100;12;Adulte;NON;48.89247582937173,2.325216087851729
157647;Arbre;CIMETIERE;VAL-DE-MARNE;;;CIMETIERE DE THIAIS / AVENUE I / DIV 103;A12100103009;Frêne à fleurs;Fraxinus;ornus;;20;5;;NON;48.757837276174094,2.3789896349376227
232571;Arbre;Alignement;PARIS 4E ARRDT;;;QUAI DE BETHUNE;000301018;Sophora;Sophora;japonica;;35;5;Jeune (arbre);NON;48.85068450536543,2.3571020083756222
237869;Arbre;Alignement;PARIS 13E ARRDT;;;BOULEVARD MASSENA;001305002;Aulne;Alnus;x spaethii;;50;8;Jeune (arbre);NON;48.821272515688506,2.3692327681999172
247063;Arbre;Alignement;PARIS 14E ARRDT;;;BOULEVARD RASPAIL;002802024;Erable;Acer;platanoides;;70;7;Jeune (arbre);NON;48.84015421411282,2.330155146595527
139275;Arbre;Jardin;PARIS 16E ARRDT;;;SQUARE ROGER COQUOIN / 14 AVENUE FERDINAND BUISSON;000105001;Arbre de Judée;Cercis;siliquastrum;;45;4;Jeune (arbre)Adulte;NON;48.83641110026623,2.2541646621666698
193938;Arbre;PERIPHERIQUE;PARIS 17E ARRDT;;;TALUS N°17-02;091702001;If;Taxus;baccata;;53;6;Adulte;NON;48.88282703401465,2.28285366430047
